config_hash,retrieval.type,retrieval.top_k,chunking.chunk_size,chunking.overlap,rerank.enabled,mean_quality_f1,mean_retrieval_recall_k,mean_retrieval_precision_k,mean_retrieval_ms,mean_latency_ms,mean_cost_usd,mean_rerank_latency_ms,std_latency_ms,model_load_ms,index_build_ms,artifact_total_ms,retrieval_cold_ms,retrieval_warm_mean_ms,retrieval_warm_std_ms,end_to_end_cold_ms,end_to_end_warm_mean_ms,end_to_end_warm_std_ms,total_cold_ms,total_warm_ms,gen_latency_mean_ms,gen_latency_std_ms,gen_cost_total_usd,mean_generation_f1,mean_generation_em,mean_generation_faithfulness,n_queries
e7e9567b9327,dense,12,150,30,False,0.04985940781930345,0.829,0.1457082972582973,8.89948806737084,8.964456740533933,0.0,0.0,1.237403390093465,1209.663791989442,13039.401957998052,168.42758300481364,10.611292032990605,8.896057598501862,1.2332047963603456,10.689500020816922,8.960999739972245,1.2362258520819391,14259.755250008311,8.960999739972245,0.0,0.0,0.0,0.0,0.0,0.0,500
7a15ebf422aa,dense,12,150,30,True,0.05147948807249371,0.875,0.15162070707070707,8.998894978198223,53.119958198978566,0.0,44.033792434842326,8.951599179805507,1209.663791989442,13039.401957998052,176.76979198586196,10.579416994005442,8.99572759940903,2.2329553164070246,53.85724996449426,53.11848066037032,8.96052119037203,14302.922999951988,53.11848066037032,0.0,0.0,0.0,0.0,0.0,0.0,500
47b6a58afd7e,dense,12,250,30,False,0.04974853982791741,0.838,0.14118181818181819,8.882985727861524,8.947956820717081,0.0,0.0,1.2358645699687767,1209.663791989442,10314.994457992725,156.50758298579603,10.89008298004046,8.8789634888792,1.2286220339403018,10.96625003265217,8.94391214494166,1.2337877044166754,11535.62450001482,8.94391214494166,0.0,0.0,0.0,0.0,0.0,0.0,500
8b99c2654e95,dense,12,250,30,True,0.0513058161428056,0.881,0.14846060606060604,8.907895540236495,52.08168082952034,0.0,43.08533368050121,6.954960466528046,1209.663791989442,10314.994457992725,148.56000000145286,11.348000029101968,8.903005551280852,1.8560808520451055,54.12979196989909,52.077576398377296,6.96133367075155,11578.788041952066,52.077576398377296,0.0,0.0,0.0,0.0,0.0,0.0,500
4d9a133066b5,hybrid,5,150,30,False,0.04579569359037568,0.751,0.30733333333333335,23.345172742847353,23.399521263316274,0.0,0.0,5.672512803327935,1209.663791989442,13167.099832964595,313.73649998568,24.10995797254145,23.343640107116503,5.676503980966745,24.162542016711086,23.397992163610073,5.67810208955946,14400.926166970748,23.397992163610073,0.0,0.0,0.0,0.0,0.0,0.0,500
80c482fb9d7e,hybrid,5,150,30,True,0.05131964413116762,0.799,0.32670000000000005,22.542076809331775,42.73170297895558,0.0,20.12706794659607,6.884446335466996,1209.663791989442,13168.276041047648,279.9306659726426,23.409040994010866,22.540339406156065,5.603089613064092,56.43920798320323,42.70423302904727,6.863870375635937,14434.379041020293,42.70423302904727,0.0,0.0,0.0,0.0,0.0,0.0,500
574254df919b,hybrid,5,250,30,False,0.046579792663599476,0.756,0.30560000000000004,22.350153798004612,22.405008513946086,0.0,0.0,5.6241590299253845,1209.663791989442,10435.852291004267,291.0408340394497,19.603207998443395,22.35565869940654,5.625935533514038,19.65554099297151,22.41051846889794,5.628451910227561,11665.17162398668,22.41051846889794,0.0,0.0,0.0,0.0,0.0,0.0,500
11a904e6c818,hybrid,5,250,30,True,0.05162477233629582,0.808,0.32639999999999997,21.88578546291683,42.32472735980991,0.0,20.37447510554921,7.53398374115457,1209.663791989442,10441.094623995014,292.3680829699151,19.662042031995952,21.890241862577994,5.861938742839845,48.85462502716109,42.31164139254067,7.535854002367015,11699.613041011617,42.31164139254067,0.0,0.0,0.0,0.0,0.0,0.0,500
786f4f8749cb,hybrid,8,150,30,False,0.046342518987201084,0.827,0.21302380952380953,23.715119973174296,23.775665923720226,0.0,0.0,5.513461868037041,1209.663791989442,13173.763291037176,309.7370420000516,23.387833032757044,23.715775858826436,5.516787601594973,23.453625035472214,23.776311296241765,5.518975791354774,14406.88070806209,23.776311296241765,0.0,0.0,0.0,0.0,0.0,0.0,500
be857c94e16c,hybrid,8,150,30,True,0.0508621648204219,0.871,0.2233047619047619,23.089956486830488,53.5676189129008,0.0,30.40610707900487,8.90872912538345,1209.663791989442,13165.586124989204,275.11812502052635,21.12354099517688,23.09389719923861,5.760015779253153,60.00208295881748,53.55472419537391,8.912997206366118,14435.251999937464,53.55472419537391,0.0,0.0,0.0,0.0,0.0,0.0,500
4bc3cf5d17a5,hybrid,8,250,30,False,0.047180711716268274,0.835,0.21086904761904762,22.402776464354247,22.464186657452956,0.0,0.0,5.38565820322857,1209.663791989442,10447.69608299248,290.04425002494827,53.1750830123201,22.34110851536033,5.2056462973192446,53.24404203565791,22.402503580542724,5.211270172819297,11710.603917017579,22.402503580542724,0.0,0.0,0.0,0.0,0.0,0.0,500
d55dc600c473,hybrid,8,250,30,True,0.05118124651392219,0.872,0.21995238095238095,21.715233808849007,51.225808074348606,0.0,29.44063303794246,8.159131627602543,1209.663791989442,10454.814333003014,333.2234999979846,22.054624976590276,21.714553666228284,5.332594636613964,64.12358296802267,51.199960830072705,8.146802790250392,11728.601707960479,51.199960830072705,0.0,0.0,0.0,0.0,0.0,0.0,500
332c4d4f4d3b,hybrid,12,150,30,False,0.04686955391686759,0.886,0.15436854256854254,23.524529208196327,23.590998080791906,0.0,0.0,5.592810681892163,1209.663791989442,13164.912624983117,279.2222500429489,20.093458995688707,23.53140510040576,5.594295096837073,20.155082980636507,23.59788368219502,5.596301302833316,14394.731499953195,23.59788368219502,0.0,0.0,0.0,0.0,0.0,0.0,500
0e73750ddf2d,hybrid,12,150,30,True,0.05142883148708856,0.908,0.156220202020202,23.89281620073598,70.66673942119814,0.0,46.69116308458615,15.290278182342446,1209.663791989442,13166.7334989761,289.1490409965627,21.553291007876396,23.89750462797618,6.23318442082134,72.03199999639764,70.66400342806148,15.305499652560355,14448.42929096194,70.66400342806148,0.0,0.0,0.0,0.0,0.0,0.0,500
e9e44a658353,hybrid,12,250,30,False,0.04761131362755054,0.89,0.1500939393939394,22.20298697554972,22.269142809673212,0.0,0.0,5.296727188083939,1209.663791989442,10438.32737399498,279.519125004299,20.90104197850451,22.20559608376023,5.29940806103241,20.96208301372826,22.27176216798172,5.301718351549621,11668.95324899815,22.27176216798172,0.0,0.0,0.0,0.0,0.0,0.0,500
c2d4a24b1eb6,hybrid,12,250,30,True,0.05211154954422523,0.917,0.1544090909090909,22.125204224139452,64.37687661708333,0.0,42.168595761526376,8.078225525548197,1209.663791989442,10438.777083007153,272.799166967161,20.92441701097414,22.127610611340184,4.979816804429606,69.79962502373382,64.36600938580747,8.082672845448812,11718.240500020329,64.36600938580747,0.0,0.0,0.0,0.0,0.0,0.0,500
